"name","code","localCode","address","lon","lat","num","quyu"
"顺义八中站","01130028","0113050028","双兴小学对面","116.659006676","40.1405887334","30","0113"
"裕龙六区南门站","01130029","0113020029","顺平路  裕龙花园六区南门东侧","116.677716657","40.1171516435","25","0113"
"绿港四区站","01130030","0113020030","顺沙路绿港家园社区居委会楼下","116.660168896","40.1370928623","20","0113"
"裕龙西区站","01130031","0113020031","裕龙花园西区南侧公共厕所前","116.668543646","40.1261740973","25","0113"
"东兴二区站","01130032","0113020032","府前东街 东兴二区19号楼前","116.664959566","40.1315815358","20","0113"
"幸福东区南门站","01130033","0113020033","幸福街 幸福东区13号楼前","116.658307225","40.1333157585","20","0113"
"绿港二区站","01130034","0113050034","东安路 绿港家园二区11号楼北侧","116.66096182","40.1343748402","30","0113"
"裕龙二区1站","01130035","0113020035","裕龙二街 裕龙花园二区南门西侧","116.66719246","40.120341144","25","0113"
"裕龙一区1站","01130036","0113020036","裕龙二街 裕龙花园一区北门东侧","116.667670405","40.1202498613","20","0113"
"裕龙三区站","01130037","0113020037","拥军路 裕龙花园三区南门西侧","116.671470215","40.1235274075","35","0113"
"绿港一区站","01130038","0113040038","金汉绿港社区居委会南侧","116.664587115","40.1340266643","25","0113"
"五里仓南门站","01130039","0113020039","仓上街 五里仓社区南门东侧","116.655729304","40.1121158604","30","0113"
"石园北区东门站","01130040","0113020040","石园东路  石园北区3号楼东侧","116.669069364","40.1143578503","35","0113"
"石园西区北门站","01130041","0113020041","石园大街 石园西区居委会前","116.662408956","40.1120735944","30","0113"
"石园北区南门站","01130042","0113020042","石园大街 石园北二社区南门东侧","116.660559547","40.1122878923","35","0113"
"仁和商业大厦站","01130043","0113040043","集汇大街 仁和商大厦北侧","116.665426737","40.1084843326","30","0113"
"港馨东区1站","01130044","0113050044","顺福路 港馨家园东区28号楼西侧","116.688426425","40.1052566773","20","0113"
"顺义残联站","01130045","0113020045","顺平路 石园北区57号楼北侧","116.662610799","40.1165253603","30","0113"
"石园东区14号站","01130046","0113020046","石园大街 石园东社区4号楼北侧","116.668488654","40.1120610388","20","0113"
"集汇大街站","01130047","0113070047","集汇大街 鑫海韵通大卖场对面","116.659960738","40.1084672399","35","0113"
"港馨西区1站","01130048","0113020048","平沿路 港新家园南门东侧","116.678270349","40.1034739166","25","0113"
"妇幼医院站","01130049","0113030049","顺义区妇幼老年保健院东门南侧绿地","116.673300518","40.1138395253","30","0113"
"顺义公园北门站","01130050","0113080050","拥军路 顺义公园北门西侧","116.661443631","40.1228027114","35","0113"
"顺义公园东门站","01130051","0113040051","顺义公园 顺平辅线顺义公园东门北侧","116.664501135","40.1203447433","30","0113"
"顺义火车站站","01130052","0113070052","站前北街 站前北街顺义火车站出站口","116.645976226","40.1258671821","25","0113"
"自来水酒楼站","01130053","0113070053","通顺路 自来水大酒楼南侧","116.658379437","40.1132187985","25","0113"
"裕龙体彩中心","01130054","0113040054","体彩中心停车场","116.674218155","40.1204008703","25","0113"
"怡馨家园北门站","01130055","0113020055","建新西街 怡馨家园北门西侧","116.648129645","40.1218043346","30","0113"
"顺鑫华玺瀚楟站","01130056","0113010056","站前街 顺鑫国际商务中心西侧","116.648855124","40.1280454841","25","0113"
"鑫海韵通站","01130057","0113030057","府前西街 鑫海韵通百货南侧空地","116.650902471","40.1300634778","30","0113"
"西辛小学站","01130058","0113050058","顺白路 西辛南区西门公厕南侧","116.640630744","40.1338922744","30","0113"
"石门地铁3站","01130059","0113020059","顺白路 西辛南区西门79号楼西侧","116.641015292","40.1324370684","40","0113"
"燕京啤酒北门站","01130060","0113080060","平沿路 燕京啤酒北门西侧","116.684525909","40.103347562","50","0113"
"燕京啤酒南门站","01130061","0113080061","双河大街 燕京啤酒厂南门西侧","116.684981745","40.0959188186","50","0113"
"西辛南区南门南站","01130062","0113020062","府前街 西辛南区南门西侧南边","116.643468417","40.1300463316","50","0113"
"西辛南区南门北站","01130063","0113020063","府前街 西辛南区南门西侧北边","116.643481441","40.1300903865","50","0113"
"石园东区南门西站","01130064","0113020064","集汇大街 石园公园南侧","116.66499834","40.1089116732","30","0113"
"石门地铁2站","01130065","0113010065","顺白路 京顺医院西门北侧","116.641387012","40.1311790638","50","0113"
"石门地铁1站","01130066","0113010066","顺白路 石门地铁站B口北侧","116.641431728","40.1308830289","35","0113"
"卧龙环岛站","01130067","0113020067","顺沙路 西辛南区62号楼北侧","116.640957224","40.1375517015","45","0113"
"顺义地铁3站","01130068","0113010068","府前街 顺义地铁车站西侧","116.658648171","40.1296898476","40","0113"
"龙府花园站","01130069","0113020069","北城根路 龙府花园南门东侧","116.651767739","40.1408247259","20","0113"
