"name","code","localCode","address","lon","lat","num","quyu"
"北纬路站","01020029","0102020029","北纬路与西经路交叉口以东（西经路49号院5号楼）","116.396954","39.889821","30","0102"
"永安路站","01020030","0102070030","中国邮政永安路支局对面西侧","116.393352","39.892415","35","0102"
"地铁菜市口A站","01020031","0102010031","地铁菜市口A出口","116.380583","39.89646","50","0102"
"翔达大厦站","01020032","0102040032","广安门内大街翔达大厦","116.374883","39.895439","30","0102"
"中信城站","01020033","0102020033","菜市口大街甲2号院3号楼","116.381122","39.891509","60","0102"
"开元名都站","01020034","0102040034","菜市口大街中国开元名都大酒店","116.380731","39.893003","40","0102"
"地铁陶然亭A口站","01020035","0102010035","菜市口大街 地铁陶然亭A出口北侧","116.380498","39.885277","60","0102"
"信恒大厦站","01020036","0102040036","广安门内大街信恒大厦","116.368209","39.895079","35","0102"
"春风社区西门站","01020037","0102020037","牛街春风社区西门北侧","116.370315","39.890786","30","0102"
"地铁宣武门站","01020038","0102010038","宣武门西大街地铁宣武门D2出口南侧","116.380651","39.904479","40","0102"
"粉子胡同站","01020039","0102040039","西单北大街与粉子胡同交叉口以北","116.380066","39.924187","25","0102"
"灵境胡同站","01020040","0102010040","西单北大街 地铁灵境胡同D出口","116.380143","39.921147","25","0102"
"关帝庙站","01020041","0102060041","阜成门内大街关帝庙南门东侧","116.374129","39.929952","40","0102"
"地铁阜成门B口站","01020042","0102010042","阜成门内大街地铁阜成门B出口","116.363708","39.929696","30","0102"
"西兴盛胡同站","01020043","0102050043","太平桥大街与西兴盛胡同交叉口以北(北京八中体育馆南侧）","116.369521","39.915534","40","0102"
"西城晶华站","01020044","0102070044","太平桥大街西城晶华西门南侧","116.371312","39.927663","60","0102"
"虎坊路站","01020045","0102040045","虎坊路2-3号楼（钱旺涮肉前面）","116.391434","39.893976","40","0102"
"儒福里50号站","01020046","0102020046","菜市口大街乐秀商城对面南侧","116.381239","39.886038","45","0102"
"西四南大街53号站","01020047","0102040047","西四南大街53号楼前（巴黎春天对面）","116.379959","39.927743","50","0102"
"南菜园街站","01020048","0102030048","南菜园街1号楼对面（西城区地税局第二税务所斜对面）","116.360511","39.881142","45","0102"
"粉坊琉璃站","01020049","0102020049","南横东街与粉坊琉璃街交叉口西侧","116.388106","39.889606","25","0102"
"长椿里1号站","01020050","0102020050","长椿里一号楼前（都佳美超市对面西侧）","116.369156","39.900428","40","0102"
"宣武医院站","01020051","0102040051","长椿街宣武医院对面","116.370231","39.896398","30","0102"
"广内大街18号站","01020052","0102020052","广安门内大街18号院1号楼","116.371479","39.895048","40","0102"
"高梁桥站  ","01020053","0102040053","高梁桥路与北展北街交叉口西南角（凯德mall商厦西门对面）","116.358296","39.947403","55","0102"
"双旗杆路站","01020054","0102010054","双旗杆东里甲18号对面","116.394623","39.970302","30","0102"
